numero_processo,classe,assunto,formato,data_ajuizamento,data_ultimo_movimento,ultima_atualizacao,nome_ultimo_movimento,codigo,orgao_julgador
15010899320248260599,Auto de Prisão em Flagrante,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-06-29 00:05:12-03:00,2024-07-01 07:19:35-03:00,2024-07-20 02:42:17.776000-03:00,Recebimento,10065,01 CRIMINAL DE PIRACICABA
15010881120248260599,Auto de Prisão em Flagrante,Receptação,Eletrônico,2024-06-28 19:31:38-03:00,2024-07-05 07:49:52-03:00,2024-07-20 02:42:13.641000-03:00,Documento,10065,01 CRIMINAL DE PIRACICABA
10143625820248260451,Carta Precatória Criminal,Citação,Eletrônico,2024-06-28 12:24:57-03:00,2024-07-01 10:01:54-03:00,2024-07-20 00:35:34.328000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15048509120248260451,Inquérito Policial,Crimes de Trânsito,Eletrônico,2024-06-28 04:33:58-03:00,2024-07-05 05:19:59-03:00,2024-07-20 02:32:29.226000-03:00,Petição,10065,01 CRIMINAL DE PIRACICABA
15010811920248260599,Ação Penal - Procedimento Ordinário,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-06-27 17:36:39-03:00,2024-07-05 13:40:49-03:00,2024-07-20 02:42:09.584000-03:00,Conclusão,10065,01 CRIMINAL DE PIRACICABA
15010734220248260599,Ação Penal - Procedimento Ordinário,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-06-26 13:21:03-03:00,2024-07-05 12:27:52-03:00,2024-07-20 02:42:00.181000-03:00,Mero expediente,10065,01 CRIMINAL DE PIRACICABA
00055642820248260451,Carta Precatória Criminal,Diligências,Eletrônico,2024-06-25 09:39:21-03:00,2024-07-03 07:57:26-03:00,2024-07-19 21:45:38.891000-03:00,Remessa,10065,01 CRIMINAL DE PIRACICABA
15047945820248260451,Inquérito Policial,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-06-25 07:05:38-03:00,2024-07-01 14:03:20-03:00,2024-07-19 21:32:10.852000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15047807420248260451,Ação Penal - Procedimento Ordinário,Ameaça ,Eletrônico,2024-06-24 14:00:15-03:00,2024-07-05 11:27:08-03:00,2024-07-19 22:11:09.530000-03:00,Conclusão,10065,01 CRIMINAL DE PIRACICABA
15047650820248260451,Inquérito Policial,Leve,Eletrônico,2024-06-24 11:05:38-03:00,2024-06-24 11:06:38-03:00,2024-07-19 21:50:40.726000-03:00,Distribuição,10065,01 CRIMINAL DE PIRACICABA
00054846420248260451,Restituição de Coisas Apreendidas,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-06-22 16:22:43-03:00,2024-06-27 20:42:13-03:00,2024-07-19 23:23:26.887000-03:00,Publicação,10065,01 CRIMINAL DE PIRACICABA
15047478420248260451,Inquérito Policial,Receptação,Eletrônico,2024-06-22 10:40:16-03:00,2024-06-22 10:40:38-03:00,2024-07-20 00:02:12.193000-03:00,Distribuição,10065,01 CRIMINAL DE PIRACICABA
15047451720248260451,Inquérito Policial,Crimes de Trânsito,Eletrônico,2024-06-22 08:36:01-03:00,2024-06-22 08:36:14-03:00,2024-07-20 00:02:11.702000-03:00,Distribuição,10065,01 CRIMINAL DE PIRACICABA
15047409220248260451,Inquérito Policial,Roubo ,Eletrônico,2024-06-22 07:46:05-03:00,2024-06-22 07:46:32-03:00,2024-07-20 00:01:54.888000-03:00,Distribuição,10065,01 CRIMINAL DE PIRACICABA
15047227120248260451,Termo Circunstanciado,Falsidade ideológica ,Eletrônico,2024-06-21 12:02:53-03:00,2024-07-03 14:08:52-03:00,2024-07-20 01:32:43.634000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
10136117120248260451,Carta Precatória Criminal,Citação,Eletrônico,2024-06-21 11:55:05-03:00,2024-07-03 09:07:21-03:00,2024-07-20 01:33:51.986000-03:00,Documento,10065,01 CRIMINAL DE PIRACICABA
15047097220248260451,Inquérito Policial,Ameaça ,Eletrônico,2024-06-21 08:38:03-03:00,2024-06-21 08:38:28-03:00,2024-07-20 01:56:20.857000-03:00,Distribuição,10065,01 CRIMINAL DE PIRACICABA
15047062020248260451,Inquérito Policial,Leve,Eletrônico,2024-06-21 08:23:28-03:00,2024-06-21 08:23:52-03:00,2024-07-20 01:56:14.015000-03:00,Distribuição,10065,01 CRIMINAL DE PIRACICABA
15047001320248260451,Inquérito Policial,Leve,Eletrônico,2024-06-21 07:58:31-03:00,2024-06-21 07:58:47-03:00,2024-07-19 21:40:50.138000-03:00,Distribuição,10065,01 CRIMINAL DE PIRACICABA
15046360320248260451,Termo Circunstanciado,Dano,Eletrônico,2024-06-19 11:23:55-03:00,2024-07-03 14:08:42-03:00,2024-07-20 02:40:27.824000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
00053019320248260451,Avaliação para atestar dependência de drogas,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-06-19 08:51:33-03:00,2024-07-05 21:26:25-03:00,2024-07-20 02:38:41.450000-03:00,Petição,10065,01 CRIMINAL DE PIRACICABA
10133466920248260451,Carta Precatória Criminal,Oitiva,Eletrônico,2024-06-19 07:06:18-03:00,2024-06-21 13:21:37-03:00,2024-07-19 22:37:35.029000-03:00,Documento,10065,01 CRIMINAL DE PIRACICABA
15046005820248260451,Inquérito Policial,Estelionato,Eletrônico,2024-06-15 08:08:26-03:00,2024-06-15 08:08:43-03:00,2024-07-19 21:14:24.649000-03:00,Distribuição,10065,01 CRIMINAL DE PIRACICABA
15045901420248260451,Inquérito Policial,Estelionato,Eletrônico,2024-06-15 06:52:04-03:00,2024-06-15 06:52:24-03:00,2024-07-19 23:37:20.508000-03:00,Distribuição,10065,01 CRIMINAL DE PIRACICABA
15045867420248260451,Inquérito Policial,Furto Qualificado ,Eletrônico,2024-06-15 06:32:11-03:00,2024-06-15 06:32:35-03:00,2024-07-19 23:37:06.127000-03:00,Distribuição,10065,01 CRIMINAL DE PIRACICABA
00004496720248260599,Comunicado de Mandado de Prisão,DIREITO PROCESSUAL PENAL,Eletrônico,2024-06-13 06:34:58-03:00,2024-06-17 11:07:13-03:00,2024-07-20 03:26:07.042000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15010189120248260599,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-06-12 20:55:23-03:00,2024-07-01 10:19:30-03:00,2024-07-20 03:26:01.851000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15010162420248260599,Auto de Prisão em Flagrante,Dano,Eletrônico,2024-06-12 10:50:41-03:00,2024-07-05 09:43:26-03:00,2024-07-20 03:26:00.929000-03:00,Outras Decisões,10065,01 CRIMINAL DE PIRACICABA
10128200520248260451,Carta Precatória Criminal,Intimação,Eletrônico,2024-06-12 06:40:49-03:00,2024-06-12 09:21:47-03:00,2024-07-20 02:53:58.027000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15045563920248260451,Inquérito Policial,Desobediência ,Eletrônico,2024-06-11 07:57:44-03:00,2024-07-04 07:48:29-03:00,2024-07-20 02:11:03.016000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15010076220248260599,Ação Penal - Procedimento Ordinário,Furto ,Eletrônico,2024-06-11 03:46:56-03:00,2024-06-24 06:55:46-03:00,2024-07-20 03:25:33.900000-03:00,Documento,10065,01 CRIMINAL DE PIRACICABA
15045088020248260451,Termo Circunstanciado,Crimes de Trânsito,Eletrônico,2024-06-10 08:12:00-03:00,2024-06-24 13:33:18-03:00,2024-07-19 22:36:18.288000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15010032520248260599,Ação Penal - Procedimento Sumário,Crimes de Trânsito,Eletrônico,2024-06-09 21:49:35-03:00,2024-07-03 09:12:59-03:00,2024-07-20 03:25:27.596000-03:00,Conclusão,10065,01 CRIMINAL DE PIRACICABA
15009963320248260599,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-06-08 00:03:53-03:00,2024-06-26 06:33:47-03:00,2024-07-20 03:24:39.895000-03:00,Documento,10065,01 CRIMINAL DE PIRACICABA
15009929320248260599,Ação Penal - Procedimento Ordinário,Furto ,Eletrônico,2024-06-07 14:21:02-03:00,2024-07-05 12:18:06-03:00,2024-07-20 03:24:21.925000-03:00,Petição,10065,01 CRIMINAL DE PIRACICABA
10125030720248260451,Carta Precatória Criminal,Intimação,Eletrônico,2024-06-07 10:42:28-03:00,2024-06-19 10:04:20-03:00,2024-07-19 22:54:31.230000-03:00,Documento,10065,01 CRIMINAL DE PIRACICABA
15044585420248260451,Inquérito Policial,Receptação,Eletrônico,2024-06-06 11:28:09-03:00,2024-06-06 11:28:33-03:00,2024-07-20 03:08:33.025000-03:00,Distribuição,10065,01 CRIMINAL DE PIRACICABA
15044420320248260451,Inquérito Policial,Estelionato,Eletrônico,2024-06-05 13:15:09-03:00,2024-07-04 07:47:55-03:00,2024-07-19 22:32:16.664000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15044351120248260451,Inquérito Policial,Estelionato,Eletrônico,2024-06-05 12:30:40-03:00,2024-07-04 07:47:20-03:00,2024-07-19 22:31:40.052000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
